id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,3.92994,0.0526249,0,0,0,-0.0858682,0.996307,
1,12.9994,-0.462476,0,0,0,-0.0383449,0.999265,
2,21.0357,-2.06631,0,0,0,-0.00444144,0.99999,
3,29.5057,-2.14026,0,0,0,-0.0394512,0.999221,
4,34.2794,-1.84517,0,0,0,0.420712,0.907194,
5,35.3138,5.22109,0,0,0,0.690703,0.723139,
6,35.268,14.8399,0,0,0,0.656129,0.754648,
7,37.9658,20.5799,0,0,0,0.232832,0.972517,
8,43.8353,23.3206,0,0,0,0.00761685,0.999971,
9,51.9551,23.2011,0,0,0,-0.0252922,0.99968,
10,63.751,22.1697,0,0,0,-0.0927896,0.995686,
11,63.5534,24.8274,0,0,0,0.661929,0.749567,
